CODIGO_ORGANIZACAO;NOME_GRUPO;TIPO_TICKET;STATUS_TICKET;DT_CRIACAO;DT_ATUALIZACAO;BK_TICKET;PRIORIDADE_TICKET
T60726;CST - Contratos Padrão e Select;task;closed;21/01/2025;21/01/2025;22410042;normal
TB4442;PC - Financeiro;question;closed;08/11/2024;21/11/2024;21749565;low
TEZIRS;CST - Contratos Padrão e Select;task;closed;27/01/2025;27/01/2025;22463517;normal
TFCKV3;PC - Financeiro;question;closed;20/05/2024;04/06/2024;20195846;low
T60617;CST - Contratos Padrão e Select;question;closed;07/02/2025;03/03/2025;22603915;low
T79168;Datasul Recursos Humanos;question;closed;10/09/2024;25/09/2024;21210528;low
TEZFHG;Protheus Manufatura;question;closed;01/02/2024;14/02/2024;19203188;high
TFDOCD;AGT CLOUD RM STD;question;closed;24/04/2024;02/05/2024;19978574;normal
TFBMB3;TOTVS Chef Corporativo;question;closed;28/11/2024;18/12/2024;21926140;low
TEZMJ3;AGT CLOUD RM STD;question;closed;15/04/2024;23/04/2024;19900987;high
T17146;Protheus Automação Comercial;question;closed;02/07/2024;02/07/2024;20575528;normal
TFCYEG;AGT CLOUD RM STD;incident;closed;19/11/2024;28/11/2024;21847158;normal
TFDEM3;TOTVS Processos Fiscais;question;closed;17/06/2024;28/06/2024;20444107;high
T22345;AGT CLOUD RM STD;question;closed;23/01/2025;30/01/2025;22448412;normal
T79168;Datasul Recursos Humanos;incident;closed;31/01/2024;13/03/2024;19193800;low
T55554;TPD CSO;problem;closed;28/02/2024;14/03/2024;19463479;normal
TFCXA8;AGT CLOUD RM STD;task;closed;26/08/2024;02/09/2024;21072203;low
TFCXA8;RM Gestão de Pessoas & SSO;question;closed;10/02/2025;19/02/2025;22614552;low
TB4359;PC - Financeiro;question;closed;27/09/2024;08/10/2024;21379133;high
T49432;PRIME RM RH;question;closed;10/01/2024;24/01/2024;18998050;high
TEZDFJ;CST - Contratos Padrão e Select;task;closed;17/02/2025;17/02/2025;22703787;normal
TCBG82;TOTVS Chef Corporativo;question;closed;22/02/2024;06/03/2024;19412469;low
T75573;TOTVS WMS SaaS;question;closed;08/01/2024;17/01/2024;18971409;high
TFDBAQ;PC - Financeiro;question;closed;26/01/2024;06/02/2024;19153603;low
TFBMB3;TOTVS Chef Corporativo;question;closed;08/08/2024;09/08/2024;20920064;low
T12377;TOTVS WMS SaaS;problem;closed;31/01/2025;06/02/2025;22520562;normal
T07810;Protheus Automação Comercial;question;closed;03/01/2024;12/01/2024;18929780;low
T02984;CST - Contratos Padrão e Select;question;closed;01/11/2024;14/02/2025;21676508;low
T37094;RM Gestão de Pessoas & SSO;question;closed;24/06/2024;04/07/2024;20503342;low
TFDPNU;TOTVS Chef Corporativo;question;closed;20/12/2024;16/01/2025;22161789;high
T12132;Reversão Canc/Ouvidoria;question;closed;28/08/2024;17/09/2024;21093583;normal
TCASEN;TOTVS Chef Corporativo;question;closed;19/08/2024;02/09/2024;21014382;low
TFDDO0;AGT CLOUD RM STD;task;closed;10/12/2024;17/12/2024;22039467;low
TFCJEG;Protheus SPED;question;closed;10/07/2024;26/07/2024;20647702;low
T05353;Protheus SPED;question;closed;05/09/2024;16/10/2024;21166795;low
TDC1J8;Consinco Recebimento e Expedição de Loja;question;closed;17/10/2024;08/11/2024;21564156;low
TFDQW1;TOTVS Chef Corporativo;question;closed;31/05/2024;14/06/2024;20291153;normal
T13659;Protheus SPED;question;closed;17/05/2024;29/05/2024;20192828;normal
TEZOVP;TCRM GC - Suporte Padrão;question;closed;06/03/2025;17/03/2025;22843759;normal
TDC02G;Consinco Recebimento e Expedição de Loja;question;closed;29/05/2024;27/06/2024;20280041;low
TB1197;TPD CSO;question;closed;02/08/2024;16/08/2024;20863071;high
T57397;RM Framework;question;closed;24/09/2024;10/10/2024;21341990;low
T05077;AGT CLOUD RM STD;question;closed;06/09/2024;13/09/2024;21172033;low
TEZOD5;TOTVS Chef Corporativo;question;closed;07/03/2024;21/03/2024;19554097;low
TCAWRC;TOTVS Chef Corporativo;question;closed;02/12/2024;04/12/2024;21961224;high
TFD879;CST - Contratos Padrão e Select;question;closed;16/01/2025;31/01/2025;22364393;low
TB4035;PC - Financeiro;question;closed;22/02/2024;22/02/2024;19410513;low
TFDO85;TOTVS Chef Corporativo;question;closed;11/11/2024;27/11/2024;21767234;low
T40143;AGT CLOUD RM STD;task;closed;06/05/2024;10/05/2024;20060371;low
TFCTRB;Protheus Automação Comercial;question;closed;18/01/2024;29/01/2024;19083203;low
T02984;TOTVS Chef Corporativo;question;closed;15/02/2024;25/03/2024;19331600;urgent
T01436;CST - Contratos Padrão e Select;task;closed;21/02/2025;21/02/2025;22754324;normal
TFDNGM;TOTVS Chef Corporativo;problem;hold;06/02/2025;17/03/2025;22593960;high
T57936;Fábrica Consinco;question;closed;31/01/2025;19/03/2025;22524051;low
TEZNGU;Datasul Recursos Humanos;task;closed;11/01/2024;19/02/2024;19014655;high
TEZHM6;Protheus Automação Comercial;question;closed;09/08/2024;04/09/2024;20928312;normal
TCAL80;TOTVS Chef Corporativo;question;closed;21/11/2024;04/12/2024;21867311;low
T07616;CST - Contratos Padrão e Select;question;closed;02/12/2024;08/01/2025;21955142;low
T11318;PC - Financeiro;question;closed;17/01/2024;06/02/2024;19068772;normal
T74304;CPT CLOUD DATASUL STD;question;closed;20/02/2024;10/03/2024;19388044;low
TFDA37;AGT CLOUD RM STD;question;closed;19/01/2024;26/01/2024;19096121;low
TFDNEH;Consinco PDV Infra e Monitor;question;closed;20/09/2024;30/09/2024;21319214;low
TFCPGO;Prime Protheus Faturamento;question;open;24/03/2025;24/03/2025;23028137;normal
TEZOOL;RM Gestão de Pessoas & SSO;question;closed;08/02/2024;28/02/2024;19282057;normal
T30616;RM Framework;question;closed;27/05/2024;13/06/2024;20255935;low
T78573;Datasul Recursos Humanos;question;closed;29/01/2024;09/02/2024;19177679;normal
TFCXA8;AGT CLOUD RM STD;question;closed;02/01/2024;07/01/2024;18924684;low
T48579;AGT CLOUD RM STD;question;closed;16/01/2024;25/01/2024;19050668;low
T61500;Protheus SPED;question;closed;16/01/2024;31/01/2024;19051475;normal
TEZIIF;RM Gestão de Pessoas & SSO;question;closed;27/02/2025;11/03/2025;22804787;normal
T48579;AGT CLOUD RM STD;question;closed;02/12/2024;12/12/2024;21952841;low
TFCWMV;Protheus Manufatura;question;closed;12/09/2024;24/09/2024;21241488;high
TFBGUG;PC - Financeiro;question;closed;28/08/2024;11/09/2024;21096771;low
TFCFEH;AGT CLOUD RM STD;question;closed;02/02/2024;09/02/2024;19228365;low
TCAWRC;TOTVS Chef Corporativo;question;closed;04/02/2025;17/02/2025;22547260;normal
TFDDO0;AGT CLOUD RM STD;question;closed;23/09/2024;29/09/2024;21326660;low
TFDJLF;AGT CLOUD RM STD;question;closed;24/10/2024;07/11/2024;21615175;low
TEWTYL;CPT CLOUD DATASUL STD;question;closed;28/11/2024;04/12/2024;21926867;high
T34551;RM Gestão de Pessoas & SSO;question;closed;24/05/2024;05/06/2024;20243146;low
T78253;Datasul Recursos Humanos;question;closed;16/01/2025;05/02/2025;22366279;normal
T12653;TOTVS WMS SaaS;problem;closed;05/02/2025;28/02/2025;22571281;high
TFBOL6;TOTVS Chef Corporativo;problem;closed;26/04/2024;09/05/2024;19996974;high
T53357;Logix Controladoria;question;closed;25/04/2024;07/05/2024;19984938;low
TCAWRC;TOTVS Chef Corporativo;question;closed;20/02/2025;06/03/2025;22746423;normal
TDC0T5;Prime Supermercados - Consultoria;task;closed;14/08/2024;10/09/2024;20970053;high
TFCRW9;CST - Contratos Padrão e Select;task;closed;10/01/2025;10/01/2025;22296776;normal
TAAQPD;Protheus SPED;question;closed;08/03/2024;27/03/2024;19558042;low
TB1645;PC - Financeiro;question;closed;21/10/2024;21/10/2024;21579718;low
TEYIZV;Protheus SPED;question;closed;03/06/2024;23/07/2024;20301529;low
T57157;TOTVS Chef Corporativo;question;closed;01/08/2024;15/08/2024;20852763;normal
TFDQW1;TOTVS Chef Corporativo;question;closed;16/05/2024;31/05/2024;20180892;low
TFCTM2;CST - Contratos Padrão e Select;task;closed;16/01/2025;16/01/2025;22373934;normal
TB1645;PC - Financeiro;question;closed;13/11/2024;13/11/2024;21789737;low
TFBYNF;TOTVS Chef Corporativo;incident;closed;02/10/2024;15/10/2024;21415176;normal
T79375;Datasul Recursos Humanos;question;closed;03/04/2024;15/04/2024;19788197;low
T46457;AGT CLOUD RM STD;question;closed;24/01/2024;28/01/2024;19130863;low
TEZI93;Cloud Customer Success;question;closed;15/10/2024;21/10/2024;21540576;low
TFDJMF;Protheus SPED;question;closed;25/04/2024;16/05/2024;19995603;high
TFCPWG;Fábrica Consinco;task;hold;27/02/2025;19/03/2025;22805573;low
T58219;Prime Protheus Faturamento;question;solved;17/03/2025;24/03/2025;22970165;low
T19751;Protheus SPED;question;closed;10/10/2024;29/10/2024;21496216;low
TFCVY1;AGT CLOUD RM STD;task;closed;04/09/2024;13/09/2024;21149731;low
T37094;RM Gestão de Pessoas & SSO;question;closed;11/04/2024;11/04/2024;19862566;normal
T01205;Protheus Manufatura;question;closed;03/12/2024;12/12/2024;21963299;normal
TCAWRC;TOTVS Chef Corporativo;question;solved;24/03/2025;24/03/2025;23029348;low
TCAL80;CST - Contratos Padrão e Select;task;closed;28/02/2025;25/03/2025;22822521;low
TFDPNU;TOTVS Chef Corporativo;question;closed;07/03/2024;21/03/2024;19555622;low
TFDAP1;Logix WMS;question;closed;08/08/2024;19/08/2024;20922831;low
T74314;Datasul Recursos Humanos;question;closed;12/04/2024;10/05/2024;19871367;normal
TFCTRB;TOTVS TEF - SERVIÇOS;question;closed;10/06/2024;21/06/2024;20375153;normal
TB0598;PC - Financeiro;question;closed;12/11/2024;28/11/2024;21788425;normal
TEZCRS;Protheus SPED;problem;closed;02/02/2024;14/02/2024;19226831;normal
T07499;Reversão Canc/Ouvidoria;question;solved;10/03/2025;24/03/2025;22874527;normal
TFCXA8;AGT CLOUD RM STD;question;closed;12/09/2024;18/09/2024;21237714;low
TFCWMV;CPT CLOUD DATASUL STD;question;closed;02/08/2024;09/08/2024;20865573;low
T57157;TOTVS Chef Corporativo;question;closed;10/09/2024;23/09/2024;21205628;low
TCATXY;Consinco Contábil;question;closed;30/01/2025;06/02/2025;22513662;normal
T55302;Cloud Customer Success;question;closed;04/07/2024;10/08/2024;20608078;low
T05691;PRIME RM RH;question;pending;21/03/2025;24/03/2025;23021174;normal
TCAL80;TOTVS Chef Corporativo;question;closed;01/10/2024;11/10/2024;21395685;normal
TFDQW1;TOTVS Chef Corporativo;question;closed;04/07/2024;17/07/2024;20597163;low
TDC1J9;Fábrica Consinco;question;closed;20/09/2024;16/10/2024;21323820;normal
TFDAS5;TOTVS Chef Corporativo;question;closed;10/09/2024;24/09/2024;21208047;low
T03120;RM Gestão de Pessoas & SSO;question;closed;20/12/2024;03/01/2025;22154534;normal
TDC0T5;Prime Supermercados - Consultoria;question;closed;04/07/2024;22/07/2024;20603897;normal
TFBGUG;PC - Financeiro;problem;closed;25/06/2024;05/08/2024;20512041;low
T08492;Protheus SPED;question;closed;25/04/2024;08/05/2024;19994079;normal
TFBGUG;PC - Financeiro;question;closed;05/02/2024;05/02/2024;19245882;low
T12377;TOTVS WMS SaaS;question;closed;30/01/2025;10/02/2025;22513501;low
TEZCO9;Protheus SPED;question;closed;01/07/2024;10/07/2024;20566337;normal
TCAWRC;TOTVS Chef Corporativo;question;closed;30/01/2025;13/02/2025;22513329;low
TFDPNU;TOTVS Chef Corporativo;question;solved;21/03/2025;21/03/2025;23020349;normal
TFBTQW;PC - Financeiro;question;closed;12/01/2024;10/04/2024;19021365;normal
TFDJLF;AGT CLOUD RM STD;question;closed;12/07/2024;19/07/2024;20682302;normal
TCAKDA;CST - Contratos Padrão e Select;task;closed;09/01/2025;09/01/2025;22280963;normal
TEWTYL;CPT CLOUD DATASUL STD;question;closed;03/01/2024;13/01/2024;18936130;high
TFDBAQ;PC - Financeiro;question;closed;17/06/2024;26/06/2024;20445255;low
TFDEBT;AGT CLOUD RM STD;question;closed;16/05/2024;22/05/2024;20169152;normal
T48228;AGT CLOUD RM STD;question;closed;06/02/2024;12/02/2024;19256385;normal
TFCYFC;RM Framework;question;closed;19/06/2024;28/06/2024;20464560;low
TFCPWG;Consinco Recebimento e Expedição de Loja;question;closed;18/10/2024;07/11/2024;21567000;high
T46585;AGT CLOUD RM STD;question;closed;22/11/2024;26/11/2024;21877725;low
TEZO13;AGT CLOUD RM STD;question;closed;22/03/2024;26/03/2024;19697376;low
TFCEMY;Protheus SPED;question;closed;17/01/2024;02/02/2024;19068978;low
T44012;AGT CLOUD RM STD;question;closed;22/07/2024;22/07/2024;20766677;low
T56348;TPD CSO;problem;closed;09/09/2024;02/10/2024;21192746;low
TFDNGM;TOTVS Chef Corporativo;problem;closed;07/03/2024;19/03/2024;19542529;normal
TEZDWI;Cloud Customer Success;question;closed;25/04/2024;09/06/2024;19995272;normal
TFDQF6;TOTVS Chef Corporativo;question;closed;07/12/2024;20/12/2024;22020795;high
T57157;TOTVS Chef Corporativo;question;closed;14/02/2024;08/03/2024;19328554;low
TFDCVD;Protheus SPED;task;closed;08/08/2024;20/08/2024;20922869;normal
T25256;AGT CLOUD RM STD;question;closed;06/12/2024;26/12/2024;22017103;low
TFBJPS;RM Gestão de Pessoas & SSO;question;closed;09/05/2024;21/05/2024;20098826;low
TFCLMW;Protheus SPED;question;closed;19/02/2024;29/02/2024;19378222;low
TDC02G;Consinco Recebimento e Expedição de Loja;question;closed;25/10/2024;05/11/2024;21627065;low
T12377;CST - Contratos Padrão e Select;question;open;13/03/2025;21/03/2025;22936980;normal
TFDPNU;TOTVS Chef Corporativo;question;closed;13/11/2024;29/11/2024;21804315;normal
TB2230;PC - Financeiro;question;closed;15/04/2024;25/04/2024;19890408;low
T03120;PRIME RM RH;question;closed;15/08/2024;04/09/2024;20993905;low
TEZNGU;Parceiros Datasul Neogrid Atendimento;question;closed;04/01/2024;22/01/2024;18948812;normal
TFDGKR;AGT CLOUD RM STD;question;closed;11/10/2024;19/10/2024;21499777;low
T05077;AGT CLOUD RM STD;question;closed;02/04/2024;06/04/2024;19766265;high
TFCYEG;AGT CLOUD RM STD;question;closed;04/02/2025;07/02/2025;22559171;low
T52576;RM Gestão de Pessoas & SSO;question;closed;04/06/2024;14/06/2024;20315317;normal
TEZNGU;Datasul Recursos Humanos;question;closed;12/03/2025;21/03/2025;22923283;normal
TCAL80;TOTVS Chef Corporativo;question;pending;17/03/2025;22/03/2025;22968565;low
T61500;Protheus SPED;question;closed;04/07/2024;23/07/2024;20607033;low
T56348;AGT CLOUD RM STD;question;closed;07/10/2024;11/10/2024;21455447;low
TC1348;TOTVS Chef Corporativo;question;closed;08/02/2024;26/02/2024;19291096;low
TFCDRK;PC - Financeiro;question;closed;14/06/2024;25/06/2024;20430137;low
T60726;CST - Contratos Padrão e Select;task;closed;21/01/2025;21/01/2025;22410092;normal
TFBGUG;PC - Financeiro;question;closed;03/04/2024;12/04/2024;19790771;normal
T23793;PC - Financeiro;question;closed;26/07/2024;06/08/2024;20803634;low
TFBGUG;PC - Financeiro;question;closed;02/07/2024;11/07/2024;20572091;low
TFDA37;AGT CLOUD RM STD;question;closed;23/04/2024;29/04/2024;19966582;low
T14449;Protheus SPED;question;closed;12/03/2024;21/03/2024;19595529;low
TFCKB8;CST - Contratos Padrão e Select;task;closed;08/01/2025;12/02/2025;22261304;low
T40143;AGT CLOUD RM STD;question;closed;25/06/2024;29/06/2024;20510811;low
TFDGMZ;TOTVS Chef Corporativo;incident;closed;05/12/2024;17/12/2024;21998606;normal
TCAL80;TOTVS Chef Corporativo;question;closed;19/02/2025;05/03/2025;22727469;low
TFCTRB;TOTVS TEF - SERVIÇOS;question;closed;10/06/2024;21/06/2024;20368514;normal
TFDOY7;TOTVS Chef Corporativo;question;closed;05/08/2024;16/08/2024;20874779;high
T03120;FÁBRICA RM - CUSTOMIZAÇÃO PORTFÓLIO PLAT & SEG;question;closed;10/02/2025;27/02/2025;22613466;low
T05077;AGT CLOUD RM STD;question;closed;12/01/2024;18/01/2024;19021320;low
TFCVTU;TOTVS Chef Corporativo;question;closed;26/02/2024;22/03/2024;19445122;low
TFCVY1;AGT CLOUD RM STD;question;closed;31/10/2024;07/11/2024;21665693;low
TFBMB3;TOTVS Chef Corporativo;question;solved;25/03/2025;25/03/2025;23044061;normal
TAAC31;Protheus Manufatura;question;closed;14/02/2025;15/02/2025;22685926;normal
TFDNG1;Protheus SPED;question;closed;19/07/2024;07/08/2024;20744738;low
TFDAS5;TOTVS Chef Corporativo;question;closed;26/09/2024;09/10/2024;21363076;low
T02984;TOTVS Chef Corporativo;question;closed;06/02/2024;20/02/2024;19264103;high
TEVVTC;Protheus Manufatura;question;closed;01/10/2024;08/10/2024;21396152;low
TEZNGU;Parceiros Datasul Neogrid Atendimento;question;closed;01/04/2024;11/04/2024;19760460;normal
TFDJLF;AGT CLOUD RM STD;task;closed;16/01/2024;23/01/2024;19054829;high
TFBGUG;PC - Financeiro;question;closed;06/02/2024;16/02/2024;19260321;low
TB2240;Reversão Canc/Ouvidoria;question;solved;11/03/2025;17/03/2025;22904258;normal
TEZDFJ;Protheus Manufatura;question;closed;23/09/2024;30/09/2024;21336167;normal
TEZNGU;Parceiros Datasul Neogrid Atendimento;question;closed;20/02/2024;11/03/2024;19387925;high
T46585;AGT CLOUD RM STD;question;closed;10/07/2024;10/07/2024;20647961;urgent
TB2025;PC - Financeiro;question;closed;22/01/2024;02/02/2024;19109512;low
T03120;PRIME RM RH;question;closed;24/04/2024;23/05/2024;19977763;low
T78253;Datasul Recursos Humanos;question;closed;25/07/2024;05/08/2024;20793418;normal
T46585;AGT CLOUD RM STD;task;closed;14/08/2024;21/08/2024;20970257;low
TEWTYL;CST - Contratos Padrão e Select;question;closed;25/11/2024;30/12/2024;21892163;normal
T43138;Protheus SPED;question;closed;09/01/2024;18/01/2024;18981423;low
TEZGIV;Protheus Manufatura;question;closed;17/09/2024;27/09/2024;21279213;normal
T14472;Parceiros Datasul Neogrid Atendimento;question;closed;15/02/2024;26/02/2024;19341428;low
TFBMB3;TOTVS Chef Corporativo;question;closed;04/03/2024;20/03/2024;19507219;normal
TEXVI3;AGT CLOUD RM STD;question;closed;16/12/2024;22/12/2024;22092785;low
T12377;TOTVS WMS SaaS;question;closed;18/02/2025;24/02/2025;22722839;high
T57157;TOTVS Chef Corporativo;question;closed;20/08/2024;02/09/2024;21023638;low
TDC1KP;Consinco Contábil;question;closed;29/10/2024;12/11/2024;21650429;normal
T46457;AGT CLOUD RM STD;question;closed;18/01/2024;18/01/2024;19079507;low
T12653;Protheus SPED;question;closed;29/01/2025;18/02/2025;22489846;low
TCAWRC;TOTVS Chef Corporativo;question;closed;31/01/2025;14/02/2025;22523357;normal
T46585;AGT CLOUD RM STD;question;closed;20/12/2024;30/12/2024;22152246;low
T37248;RM Framework;question;closed;10/02/2025;19/02/2025;22622792;low
T57936;Fábrica Consinco;task;closed;14/05/2024;03/10/2024;20150031;normal
TEZOOL;RM Gestão de Pessoas & SSO;question;closed;25/02/2025;10/03/2025;22783235;low
T36359;AGT CLOUD RM STD;question;closed;26/01/2024;30/01/2024;19158632;low
TFCOKA;TOTVS WMS SaaS;question;closed;17/02/2025;27/02/2025;22700514;high
T05077;AGT CLOUD RM STD;question;closed;11/04/2024;15/04/2024;19857925;low
TEXVI3;AGT CLOUD RM STD;question;closed;16/05/2024;20/05/2024;20174555;low
T54237;CST - Contratos Padrão e Select;task;closed;21/01/2025;21/01/2025;22414381;normal
TFBGUG;PC - Financeiro;question;closed;27/08/2024;05/09/2024;21087421;low
T52473;RM Framework;question;closed;22/01/2025;11/02/2025;22427608;low
TFDJI5;Gestão de Terceiros - Serviços Corporativo;question;closed;12/09/2024;24/09/2024;21235272;low
TFDAP1;Logix WMS;question;closed;16/02/2024;27/02/2024;19356624;low
T03644;Protheus Automação Comercial;question;closed;09/05/2024;28/05/2024;20099633;low
T46457;PRIME RM RH;question;closed;09/05/2024;24/05/2024;20098201;low
TCAWRC;TOTVS Chef Corporativo;question;closed;07/12/2024;20/12/2024;22020692;normal
TEYIZV;CST - Contratos Padrão e Select;task;closed;24/01/2025;24/01/2025;22457010;normal
T05967;CST - Contratos Padrão e Select;question;closed;03/01/2025;22/01/2025;22222899;low
T17078;Protheus Manufatura;question;closed;22/02/2024;01/04/2024;19412717;normal
T61500;Protheus Automação Comercial;question;closed;30/07/2024;20/08/2024;20832240;normal
TFDFBK;AGT CLOUD RM STD;question;closed;20/05/2024;24/05/2024;20207466;high
TFCI62;Protheus Manufatura;question;closed;09/08/2024;20/08/2024;20929265;low
T40143;Cloud Customer Success;task;closed;11/06/2024;08/10/2024;20382256;normal
TFCIAC;TOTVS Chef Corporativo;question;closed;21/03/2024;05/04/2024;19687194;low
TFDCEX;Protheus Automação Comercial;question;closed;27/11/2024;09/12/2024;21916760;normal
TEZEK7;Fábrica Consinco;question;closed;25/01/2024;21/02/2024;19143663;normal
TCAL80;TOTVS Chef Corporativo;question;closed;14/03/2025;14/03/2025;22940082;low
TCAWRC;TOTVS Chef Corporativo;question;closed;20/02/2025;07/03/2025;22751086;normal
T38369;RM Gestão de Pessoas & SSO;question;closed;23/05/2024;04/06/2024;20233200;low
TEZNKW;Protheus SPED;question;closed;08/05/2024;20/05/2024;20084319;normal
TEZNGU;Datasul Recursos Humanos;question;closed;30/08/2024;30/08/2024;21114608;low
TEXVI3;AGT CLOUD RM STD;question;closed;16/05/2024;20/05/2024;20174209;low
T40143;AGT CLOUD RM STD;question;closed;08/08/2024;19/08/2024;20921896;low
T73876;Datasul Recursos Humanos;question;closed;03/02/2025;12/02/2025;22531000;low
TB3493;RM Framework;question;closed;28/05/2024;27/06/2024;20266130;normal
